geoid,total_pop,median_income,state,county,tract,name,b01003_001_moe,b19013_001_moe
06037134424,2821,149000,06,037,134424,"Los Angeles County, California",286.0,19636.0
06037134520,5263,50139,06,037,134520,"Los Angeles County, California",723.0,8186.0
06037134521,2944,53145,06,037,134521,"Los Angeles County, California",296.0,15225.0
06037134522,4741,49375,06,037,134522,"Los Angeles County, California",750.0,13541.0
06037134710,5531,52683,06,037,134710,"Los Angeles County, California",648.0,6577.0
06037134720,5195,86375,06,037,134720,"Los Angeles County, California",599.0,20076.0
06037134801,3091,97381,06,037,134801,"Los Angeles County, California",569.0,32634.0
06037134802,3121,83984,06,037,134802,"Los Angeles County, California",491.0,33900.0
06037134901,2577,78526,06,037,134901,"Los Angeles County, California",263.0,20668.0
06037134904,4615,75769,06,037,134904,"Los Angeles County, California",1056.0,20267.0
06037134905,5590,100103,06,037,134905,"Los Angeles County, California",788.0,30287.0
06037134906,3056,83302,06,037,134906,"Los Angeles County, California",462.0,10876.0
06037134907,3635,99342,06,037,134907,"Los Angeles County, California",1040.0,27093.0
06037135102,3652,153750,06,037,135102,"Los Angeles County, California",456.0,20406.0
06037135111,4001,98490,06,037,135111,"Los Angeles County, California",1115.0,19753.0
06037135113,2951,110489,06,037,135113,"Los Angeles County, California",536.0,44322.0
06037135115,3212,86169,06,037,135115,"Los Angeles County, California",436.0,25206.0
06037135116,1477,68162,06,037,135116,"Los Angeles County, California",357.0,40495.0
06037135201,3104,123460,06,037,135201,"Los Angeles County, California",487.0,12253.0
06037135202,4625,130156,06,037,135202,"Los Angeles County, California",713.0,27047.0
06037135204,4481,112765,06,037,135204,"Los Angeles County, California",767.0,26394.0
06037135205,2059,121339,06,037,135205,"Los Angeles County, California",316.0,30706.0
06037137000,5035,108224,06,037,137000,"Los Angeles County, California",540.0,29759.0
06037137103,5560,90964,06,037,137103,"Los Angeles County, California",722.0,15819.0
06037137104,2416,98445,06,037,137104,"Los Angeles County, California",245.0,23685.0
06037137202,3339,71346,06,037,137202,"Los Angeles County, California",574.0,16529.0
06037137203,2660,119385,06,037,137203,"Los Angeles County, California",670.0,27018.0
06037137301,2142,181571,06,037,137301,"Los Angeles County, California",422.0,22852.0
06037137302,4376,167500,06,037,137302,"Los Angeles County, California",458.0,13739.0
06037137401,4567,143859,06,037,137401,"Los Angeles County, California",606.0,12903.0
06037137402,5663,145182,06,037,137402,"Los Angeles County, California",1087.0,40786.0
06037137501,5426,112800,06,037,137501,"Los Angeles County, California",736.0,19212.0
06037137502,4432,129395,06,037,137502,"Los Angeles County, California",593.0,47298.0
06037137504,1983,203750,06,037,137504,"Los Angeles County, California",321.0,55147.0
06037138000,4826,130690,06,037,138000,"Los Angeles County, California",504.0,24125.0
06037139001,5511,98926,06,037,139001,"Los Angeles County, California",636.0,17904.0
06037139200,5946,94250,06,037,139200,"Los Angeles County, California",782.0,10163.0
06037139301,4243,175673,06,037,139301,"Los Angeles County, California",719.0,32094.0
06037139302,5181,80119,06,037,139302,"Los Angeles County, California",641.0,7540.0
06037139303,4556,56200,06,037,139303,"Los Angeles County, California",495.0,14267.0
06037139401,2405,78320,06,037,139401,"Los Angeles County, California",303.0,23272.0
06037139402,2893,172500,06,037,139402,"Los Angeles County, California",480.0,52118.0
06037139502,3113,119707,06,037,139502,"Los Angeles County, California",362.0,15403.0
06037139504,3741,65625,06,037,139504,"Los Angeles County, California",506.0,14776.0
06037139505,2485,45833,06,037,139505,"Los Angeles County, California",505.0,25765.0
06037139506,2889,67538,06,037,139506,"Los Angeles County, California",675.0,25108.0
06037139600,5134,94444,06,037,139600,"Los Angeles County, California",706.0,20044.0
06037139701,5388,153875,06,037,139701,"Los Angeles County, California",692.0,46298.0
06037139703,2438,176875,06,037,139703,"Los Angeles County, California",353.0,57659.0
06037139704,2597,132050,06,037,139704,"Los Angeles County, California",597.0,27746.0
06037139705,4097,250001,06,037,139705,"Los Angeles County, California",631.0,
06037139801,3498,203125,06,037,139801,"Los Angeles County, California",431.0,27073.0
06037139802,3887,221398,06,037,139802,"Los Angeles County, California",488.0,26265.0
