geoid,geoid20,year,denom_occupied_housing,no_vehicle_count,no_vehicle_pct
1400000US06037189703,6037189703,2023,1055,58,5.4976301
1400000US06037189704,6037189704,2023,977,7,.716479
1400000US06037189801,6037189801,2023,1499,275,18.345564
1400000US06037189802,6037189802,2023,1056,43,4.0719695
1400000US06037189903,6037189903,2023,1647,154,9.3503342
1400000US06037189904,6037189904,2023,1553,198,12.749517
1400000US06037189905,6037189905,2023,1424,161,11.30618
1400000US06037189906,6037189906,2023,1537,178,11.581002
1400000US06037189907,6037189907,2023,1399,202,14.438885
1400000US06037190101,6037190101,2023,1200,256,21.333334
1400000US06037190102,6037190102,2023,1333,166,12.453114
1400000US06037190201,6037190201,2023,1567,600,38.289726
1400000US06037190202,6037190202,2023,2086,832,39.884949
1400000US06037190302,6037190302,2023,1194,178,14.907873
1400000US06037190303,6037190303,2023,1589,644,40.528633
1400000US06037190401,6037190401,2023,1626,513,31.549816
1400000US06037190402,6037190402,2023,1184,75,6.3344593
1400000US06037190510,6037190510,2023,1725,526,30.492754
1400000US06037190520,6037190520,2023,1526,368,24.115334
1400000US06037190701,6037190701,2023,791,279,35.271809
1400000US06037190702,6037190702,2023,846,160,18.912529
1400000US06037190801,6037190801,2023,1466,541,36.903137
1400000US06037190802,6037190802,2023,1663,228,13.710162
1400000US06037190901,6037190901,2023,1230,375,30.487804
1400000US06037190902,6037190902,2023,1674,390,23.297491
1400000US06037191000,6037191000,2023,3247,600,18.478596
1400000US06037191110,6037191110,2023,1103,306,27.742521
1400000US06037191120,6037191120,2023,1569,311,19.821543
1400000US06037191201,6037191201,2023,1656,431,26.026569
1400000US06037191203,6037191203,2023,968,316,32.644627
1400000US06037191204,6037191204,2023,713,109,15.287518
1400000US06037191301,6037191301,2023,958,225,23.486429
1400000US06037191302,6037191302,2023,919,173,18.82481
1400000US06037191410,6037191410,2023,1363,366,26.852531
1400000US06037191420,6037191420,2023,1049,165,15.729266
1400000US06037191500,6037191500,2023,1884,264,14.012739
1400000US06037191610,6037191610,2023,1417,361,25.476358
1400000US06037191620,6037191620,2023,933,156,16.720257
1400000US06037191710,6037191710,2023,1211,505,41.701073
1400000US06037191720,6037191720,2023,1402,459,32.738945
1400000US06037191810,6037191810,2023,1237,239,19.320938
1400000US06037191820,6037191820,2023,1967,197,10.015252
1400000US06037191901,6037191901,2023,2452,462,18.841763
1400000US06037191902,6037191902,2023,1532,78,5.0913839
1400000US06037192001,6037192001,2023,1085,220,20.276497
1400000US06037192002,6037192002,2023,1408,84,5.965909
1400000US06037192300,6037192300,2023,1501,249,16.588942
1400000US06037192410,6037192410,2023,1949,122,6.2596202
1400000US06037192420,6037192420,2023,1409,245,17.388218
1400000US06037192510,6037192510,2023,1268,170,13.40694
1400000US06037192520,6037192520,2023,1631,152,9.3194361
1400000US06037192610,6037192610,2023,1535,201,13.094462
1400000US06037192620,6037192620,2023,1200,227,18.916666
1400000US06037192700,6037192700,2023,1243,308,24.778761
1400000US06037194101,6037194101,2023,1828,209,11.43326
1400000US06037194102,6037194102,2023,1223,77,6.2959933
1400000US06037194200,6037194200,2023,1644,0,0
1400000US06037194300,6037194300,2023,1394,0,0
1400000US06037194401,6037194401,2023,1485,152,10.23569
1400000US06037194402,6037194402,2023,2216,122,5.505415
1400000US06037194500,6037194500,2023,1011,119,11.770524
