OBJECTID,COUNTYFP20,TRACTCE20,GEOID20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,Pop23,HH23,LandSqMile,PopDensity,Flag_MHI_P,Source,Comments,Date_Record_Last_Edited,Record_Last_Edited_By,Date_Data_Refers_To,MHI23,ShapeSTArea,ShapeSTLength
8443,19,6101,6019006101,8582663,0,36.6892587,-119.5750615,3707,778,3.3138,1119,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,94444,13373161.16,17347.28658
8444,19,1418,6019001418,2510616,0,36.7292647,-119.6909112,1940,694,0.9694,2001,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,118906,3915978.347,7919.092532
8445,19,4218,6019004218,14739575,117466,36.8189274,-119.9187476,8430,2253,5.691,1481,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,127962,23227232.75,20886.98949
8446,19,5528,6019005528,1450672,0,36.8810266,-119.7627101,1819,700,0.5601,3248,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,114545,2271620.419,6676.11284
8447,19,6605,6019006605,881652,0,36.6063927,-119.4445319,2291,549,0.3404,6730,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,83566,1370828.97,4696.846866
8448,19,5915,6019005915,38421767,0,36.828991,-119.5870612,4590,1390,14.8347,309,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,142931,60083889.93,33279.96243
8449,19,8600,6019008600,74215767,28843,36.7100325,-119.8851173,4127,1195,28.6549,144,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,65685,115741984,49132.20854
8450,19,3811,6019003811,7098330,34016,36.7654223,-119.8893004,7664,2202,2.7407,2796,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,86869,11135452.65,15133.40836
8451,19,4217,6019004217,2444578,0,36.8058055,-119.8857853,3793,985,0.9439,4018,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,99632,3820535.601,8806.77505
8452,19,3812,6019003812,19476451,0,36.7733872,-119.916272,3548,839,7.5199,472,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,91181,30413417.99,23188.6847
8453,19,4705,6019004705,834809,0,36.7985088,-119.8401416,2085,673,0.3223,6469,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,53808,1304444.031,4982.431812
8454,19,4706,6019004706,1034356,0,36.8002991,-119.834292,6067,1833,0.3994,15190,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,65324,1616319.389,7246.89201
8455,19,4006,6019004006,12898830,0,36.7458446,-120.0421779,3734,1228,4.9803,750,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,51667,20127803.64,18094.54465
8456,19,701,6019000701,1242800,47342,36.7266453,-119.8243614,2768,843,0.4798,5769,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,36528,2012099.943,6018.573133
8457,19,702,6019000702,6833252,157822,36.7363393,-119.8277278,1453,390,2.6383,551,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,37588,10906447.61,16601.69224
